Date,Open,High,Low,Close,Volume
1998-06-01,5.5260,5.5380,5.5090,5.5210,0
1998-06-02,5.5420,5.5630,5.5420,5.5500,0
1998-06-03,5.5630,5.5750,5.5540,5.5580,0
1998-06-04,5.5790,5.6000,5.5620,5.5830,0
1998-06-05,5.5830,5.6240,5.5460,5.5710,0
1998-06-08,5.5660,5.5910,5.5660,5.5750,0
1998-06-09,5.5830,5.5950,5.5660,5.5750,0
1998-06-10,5.5380,5.5420,5.5010,5.5010,0
1998-06-11,5.5010,5.5170,5.4270,5.4310,0
1998-06-12,5.4350,5.4630,5.3940,5.4100,0
1998-06-15,5.3740,5.3940,5.3660,5.3700,0
1998-06-16,5.4020,5.4350,5.3940,5.4310,0
1998-06-17,5.4960,5.5500,5.4800,5.5290,0
1998-06-18,5.5080,5.5080,5.4840,5.4920,0
1998-06-19,5.5210,5.5330,5.4550,5.4590,0
1998-06-22,5.4260,5.4510,5.4260,5.4510,0
1998-06-23,5.4510,5.4550,5.4380,5.4380,0
1998-06-24,5.4470,5.4550,5.4220,5.4510,0
1998-06-25,5.4470,5.4920,5.4470,5.4590,0
1998-06-26,5.4790,5.4870,5.4300,5.4420,0
1998-06-29,5.4460,5.4590,5.4460,5.4590,0
1998-06-30,5.4790,5.4870,5.4340,5.4340,0
1998-07-01,5.4500,5.4500,5.4010,5.4260,0
1998-07-02,5.3890,5.4050,5.3690,5.4010,0
1998-07-06,5.3890,5.3930,5.3810,5.3810,0
1998-07-07,5.3930,5.4130,5.3890,5.4050,0
1998-07-08,5.3930,5.4250,5.3930,5.4210,0
1998-07-09,5.4130,5.4210,5.3880,5.3930,0
1998-07-10,5.3920,5.4090,5.3920,5.4050,0
1998-07-13,5.3960,5.4700,5.3960,5.4500,0
1998-07-14,5.4620,5.4910,5.4330,5.4740,0
1998-07-15,5.4620,5.4740,5.4540,5.4700,0
1998-07-16,5.4910,5.4950,5.4540,5.4870,0
1998-07-17,5.4780,5.5030,5.4700,5.4990,0
1998-07-20,5.4950,5.4950,5.4580,5.4660,0
1998-07-21,5.4370,5.4740,5.4290,5.4370,0
1998-07-22,5.4450,5.4530,5.4290,5.4450,0
1998-07-23,5.4290,5.4530,5.4120,5.4290,0
1998-07-24,5.4410,5.4490,5.4200,5.4410,0
1998-07-27,5.4410,5.4530,5.4240,5.4530,0
1998-07-28,5.4610,5.4780,5.4490,5.4780,0
1998-07-29,5.4780,5.5190,5.4740,5.5110,0
1998-07-30,5.5110,5.5490,5.4820,5.4900,0
1998-07-31,5.4820,5.5070,5.4780,5.4940,0
